Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
21,Gryffindor,Pansy,Mosher,1999-12-15,Left,31882.0,689.3561417314064,-5.76315776392788,-6.8935614173140625,5.942,-16.519432386501975,,-1.9744468934349493,961.1128278945888,4.431963256041222,1.5627795342839057,-251.21916000000002,136.89
26,Slytherin,Araceli,Flint,1998-03-01,Left,66246.0,-419.02208521911433,-6.655229617697697,4.1902208521911435,-6.006,-322.019869231814,408.62799964753634,4.83789747048606,1039.9434988980925,8.739039146518566,0.022792243269547617,-253.04748999999998,-91.44
28,Gryffindor,Mimi,Baird,1997-05-22,Left,40401.0,236.8888790015881,-5.077751004602562,-2.3688887900158813,5.517,-544.7589088830549,604.0963783054931,-4.9553196318390045,977.8967780641292,4.377128702454228,-1.5510451995400842,-249.38786000000002,173.06
31,Gryffindor,Kermit,Craft,2000-11-18,Left,58112.0,514.3419372851155,-2.832054657210328,-5.143419372851155,5.754,-685.1710296006307,618.4414085954005,-7.003952866834519,957.091137731852,1.7322365656983032,0.3585953072795056,-252.33586,223.8
38,Slytherin,Wendell,Ratcliff,1997-08-14,Right,40775.0,-619.3515715066602,-8.887563696339651,6.193515715066601,-6.92,-267.62216563601805,376.5402382619666,6.832455538744942,1056.1574171832387,11.708296678300936,-0.047774146829852634,-251.37265,-125.38
39,Gryffindor,Angela,Han,1999-09-02,Right,36947.0,595.093516815514,-4.5399626259008725,-5.950935168155142,5.825,-526.992894168597,599.5970452832613,-4.4547142615818585,,4.163735873868918,0.4720483839118659,-251.84998,204.58
40,Gryffindor,Ben,Southard,2001-03-22,Left,52334.0,494.083695769108,-4.853242383525319,-4.94083695769108,5.4220000000000015,-413.78262153792434,603.4019170744108,-5.213071996448341,944.0464656850093,1.7817419059762996,-1.416966998705505,-252.49781000000002,189.06
48,Slytherin,Lorna,Graves,2000-03-28,Left,68570.0,-387.74483245021133,-4.604619969975151,3.8774483245021134,-6.945,-419.16429373366526,403.71291151908974,1.72055017703211,1058.5804798295928,7.637557962209646,-0.4045276627737053,-253.98429,-54.3
49,Gryffindor,Efren,Sotelo,2000-03-24,Left,53157.0,642.0668078877801,-3.731583390209028,-6.4206680788777994,5.537000000000001,-430.8413869051128,592.0578084894732,-5.679532987655486,952.4800067295447,1.6241740139985756,-2.0024508868722384,-253.20893999999998,195.93
50,Gryffindor,Israel,Roach,1999-03-23,Right,42836.0,420.6281622512083,-5.996391408199898,-4.206281622512083,4.066,-490.6709728461078,586.5663669451293,-4.608931187986684,958.5203482884486,4.0119384673969325,-0.6921841218019021,-253.0686,177.52
51,Slytherin,Gene,Southerland,1997-11-18,Right,47880.0,-508.0961662440525,-5.3151173064857415,5.080961662440525,-7.952000000000001,-460.66974594553113,373.2900322282527,2.211948801657565,1080.1149921632357,9.819557716523132,-1.2111045718472646,-253.02187999999998,-63.61
52,Slytherin,Adelina,Bivins,1999-08-28,Right,40993.0,-659.0745091004828,-1.3897815697389886,6.5907450910048295,-4.6530000000000005,-707.6370173199118,362.34630223638914,2.7747501536998858,1066.5744228339968,6.8559861598597145,1.2281718327105295,-247.19169,-40.26
54,Gryffindor,Rena,Conners,2000-01-03,Left,44262.0,442.5297807980382,-4.159918828909026,-4.425297807980382,5.766,-725.1181562349636,569.3116078495827,-6.499374126107093,951.2873280242824,0.8087147473593586,0.4131136082059517,-252.47465,207.58
55,Slytherin,Sallie,Olivares,2001-05-08,Left,68337.0,-240.5808380546587,-8.466872317161561,2.4058083805465857,-3.055,-362.5056034493952,462.16259408384764,7.084376678562577,1031.4035829641168,11.6007286096271,-0.606269997825454,-252.16026000000002,-100.81
57,Slytherin,Tammi,Dexter,1997-03-15,Right,54555.0,-400.74189368019563,-4.149147757648881,4.007418936801956,-4.711,-479.519923618225,408.28267256684836,3.1392272930778238,1055.2616034259238,8.413704761490253,-0.4323140279542813,-250.70782000000003,-50.1
59,Gryffindor,Millicent,Corcoran,1997-10-07,Right,45361.0,579.2673013893152,-4.8126746857821265,-5.792673013893156,5.5889999999999995,-286.93824511056187,592.320612107805,-3.2307414012837987,974.1081657516603,4.820525642893224,0.602047949653184,-251.28892000000002,150.33
60,Slytherin,Vincenzo,Seaton,1997-05-29,Right,51703.0,-461.4093394908483,-5.8872827743486225,4.614093394908483,-6.869,-334.1827270884367,395.5129669617437,3.5070920536817827,1057.4804761308203,9.408525512226813,-1.1078928252127682,-252.45352999999997,-68.8
68,Gryffindor,Lesley,Conley,2000-02-08,Left,39225.0,546.1048515582914,-5.177676827131712,-5.461048515582916,5.2360000000000015,-478.2053839467278,583.9009789986392,-5.619651212802019,932.1547541090092,1.3723222888566218,1.1736933909229337,-253.30962000000002,213.83
71,Slytherin,Chauncey,Ambrose,1997-09-23,Right,56313.0,-463.6502500606741,-2.457738111279645,4.636502500606741,-3.523,-497.6966702112428,448.2469179293768,3.0324715106011406,1033.5124263006678,7.354243224801251,-0.31705462760272096,-248.22068,-13.85
72,Slytherin,Robbin,Cortez,1998-09-21,Right,37901.0,-508.0190338128575,-4.0790188726094065,5.080190338128575,-5.725,,407.1401840978691,4.7358574923446985,1052.0715585372977,10.65707959157059,0.3930427747554777,-249.20965,-39.65
81,Slytherin,Antonette,Falcon,1999-08-01,Right,11030.0,,-6.842722845903242,7.840030898335224,-3.253,-659.4140302422647,351.059963478086,9.85368742037005,1065.3667323619277,13.48141806518045,0.4608029791192174,-244.30022999999997,-125.24
82,Slytherin,Arnold,Kersey,1998-06-12,Right,37887.0,-515.8409219526714,-6.540225265528053,5.158409219526714,-7.4910000000000005,-497.8380424628671,370.4816797403157,,1081.1865600725398,12.161321413854992,-1.2188837931329186,-252.12602,-82.61
83,Gryffindor,Rosita,Riddick,2001-09-27,Right,56134.0,336.0623367778062,-4.917391145130838,-3.360623367778062,5.402,-506.97699448819606,634.1718917533511,-4.248889474217036,971.0193242051724,4.928506629654286,1.245107500969116,-250.44466,168.2
89,Gryffindor,Aisha,Steffen,2000-02-08,Right,67687.0,239.69576421273362,-3.4640191301689454,-2.396957642127336,5.25,-602.3663235488892,659.3533550509658,-7.392166051120612,962.8172288806368,2.142782574905993,-1.4746064699518395,-250.64727000000002,212.01
90,Gryffindor,Tabatha,Bartlett,2000-02-13,Right,47749.0,473.9594644537471,-5.203283992057737,-4.739594644537472,5.212999999999999,-598.1996765989197,598.2177024949481,-5.7227426492442905,931.5404071789533,1.4396819350126968,,-253.36057999999997,213.28
91,Gryffindor,Oma,Prosser,1998-07-26,Left,60337.0,308.54461787237733,-3.6096540503280985,-3.085446178723773,6.882999999999999,-231.057459318709,636.0795719842497,-4.939479676363117,984.255441883197,2.9838141870231385,-0.9146227391949916,-247.82592000000002,147.71
96,Gryffindor,Gabriella,Snook,1999-04-05,Left,40377.0,529.1895411283647,-3.7856221594879567,-5.291895411283647,5.922999999999999,-645.3830056545745,615.0863313301887,-5.4829806088532616,960.6549757710112,4.160832420156689,-0.496053015772492,-251.26696,220.38
98,Slytherin,Allison,Ketchum,1998-07-20,Right,35796.0,-662.4667943509653,-4.4429124927184365,6.624667943509652,-3.542,-624.8435109690846,374.422516668655,6.043296729866028,1057.4390369668408,9.448966565083404,-0.9391020568781272,-246.52071,-83.43
100,Gryffindor,Dianne,Gulley,1997-08-06,Left,32401.0,663.3114579687891,-3.7379586281520014,-6.633114579687891,5.3210000000000015,-355.91334409817483,621.4829544195684,-4.58539579746124,976.9447294813398,6.467256170447585,0.8078199234012003,-250.98496,209.29
105,Gryffindor,Darius,Pond,1999-06-09,Right,47435.0,514.2680470858512,-6.93864145908022,-5.1426804708585125,3.594,-299.5844495831252,593.3684428138996,-2.623107733979692,956.078922072012,5.4962643095943235,-0.5508715518068543,-253.83872999999997,147.31
106,Slytherin,Wilma,Marroquin,1998-12-29,Right,58994.0,-529.8336462977353,-7.551878451788433,5.298336462977353,-5.441,-420.00614557255125,372.0458319129935,7.031750274519412,1046.2061307871647,9.484187396697552,1.7694646986024396,-251.70157000000003,-134.02
107,Gryffindor,Sylvester,Smallwood,1997-03-14,Right,66124.0,153.9488923822856,-6.954602943219923,-1.539488923822856,4.563,-236.09768249562785,573.5525538447382,-4.505731041841491,,-0.07876881185512241,-0.8137008722795482,-252.0244,109.0
109,Slytherin,Caryn,Irvine,1999-07-11,Left,65151.0,-340.47712877179464,-9.573924459742496,3.4047712877179466,-6.9910000000000005,-240.38448538772357,424.1737103817173,5.3553119373615194,1053.3427703322022,11.960950732479231,0.1851757806294785,-255.36437,-111.75
110,Slytherin,Octavia,Hamby,1997-08-04,Right,53672.0,-568.4347528438542,-4.239520728602262,5.684347528438543,-7.213999999999999,-558.7776213219696,350.1109816572477,1.390732469720544,1087.122080148455,7.717584206839883,,-252.34285,-73.57
115,Gryffindor,Sharyn,Oconnell,1998-12-20,Right,32757.0,559.5125234247852,-4.459940037396295,-5.595125234247852,5.432,-593.1249867855042,565.6424557351163,-5.264616268276742,962.2932170297298,3.2163321961770768,0.2411916856305921,-252.34838,200.17
117,Slytherin,Sheri,Tuttle,1997-05-11,Right,64893.0,-519.5256358296159,-6.361745193106215,5.195256358296159,-6.945,-628.7998129398574,335.23456452572975,4.204773786179422,,8.735903218516459,-1.9948528707930293,-253.98085,-128.79
121,Slytherin,Antone,Medina,1997-12-21,Left,38267.0,-483.1771126229637,,4.831771126229636,-5.0680000000000005,-589.6541348510808,406.18381761432516,5.884951929590099,1067.772809838536,12.952910852367266,-0.35877949210369164,-249.85396,-75.77
125,Slytherin,Brooks,Bettencourt,1999-09-26,Left,49342.0,-526.0859806925057,-4.036462449149498,5.2608598069250565,-5.763999999999999,-627.6900074406183,374.5229978785511,4.326933289561747,1062.0475552673126,9.142679119096826,1.6149153943110088,-250.42092000000002,-68.14
127,Slytherin,Russ,Blais,1997-09-04,Right,44770.0,-531.9043967543388,-5.1549411645906345,5.3190439675433865,-5.577000000000001,-401.9862001840712,399.7636080150557,3.8752004138047855,1056.4237410427052,9.339369229360576,,-250.01667,-61.42
128,Slytherin,Wilbur,Burnside,1999-05-24,Right,45982.0,-488.97850798686363,-4.963730079291379,4.889785079868637,,-617.4040268104895,398.49990048810594,5.528243231441679,1059.217553368259,9.617422309157933,-0.5632199018740616,-247.73032,-83.27
130,Slytherin,Oma,Whitlow,2000-04-29,Left,46919.0,-404.372186541756,-5.078322642489496,4.04372186541756,-4.61,-322.9054893546188,456.63592378464597,3.9688566525093836,1039.1307085684732,10.276648636048334,0.0852451376997611,-249.67188,-28.32
131,Gryffindor,Nelson,Doolittle,1998-11-25,Left,32154.0,429.2554521387429,-7.7905820160194095,-4.29255452138743,4.2989999999999995,-362.4630769343058,532.3484938569541,-3.5301756757370466,932.4673231572592,1.6126967963194367,-0.41970777449651736,-253.98387000000002,153.59
132,Slytherin,Angeline,Trice,2000-04-02,Right,57769.0,-608.9149949864728,-9.953412078187053,6.089149949864727,-5.834,-460.6246625707302,358.904410560868,9.494249074769064,1048.6952318441702,11.61728541084899,-0.9737175264700044,-252.13077,-180.37
139,Gryffindor,Rashad,Massie,1997-06-29,Left,62442.0,741.3409427247833,-1.3542832920553831,-7.413409427247831,7.782999999999999,-560.006130689935,597.7039642230521,-7.018531981033775,946.5523564245456,-1.14951082500442,0.5535948439413207,-252.15187000000003,219.3
140,Gryffindor,Dave,Naquin,1997-11-27,Right,56763.0,444.8624898617786,-5.331665078327536,-4.448624898617786,4.547,,629.2369725939395,-5.375846467984553,937.6315071565745,2.2794606275299683,0.4173716471038083,-252.95257,196.74
142,Gryffindor,Dick,Enos,2001-03-18,Left,47266.0,469.4059601258023,-5.529584365411202,-4.694059601258023,3.9810000000000003,-520.9485966422131,622.3857795225591,-4.622835308067772,957.758514994862,5.3516419173430565,1.5883960374994828,-253.08888,196.78
144,Gryffindor,Billy,Le,1997-01-30,Left,22398.0,599.5852111840952,-5.705504055909232,-5.995852111840954,4.66,-569.9967720898802,596.599814445475,-3.767260727505999,952.4012186072059,6.477809370926361,0.41123153059037576,-252.61465,217.25
145,Gryffindor,Nilda,Brogan,1997-04-16,Right,64395.0,597.0366261315444,-3.4482006663933635,-5.9703662613154425,7.359,-95.69736493123102,,-4.1743558750331085,958.2566180992128,1.1268872970354142,-1.791074054701447,-250.10574,147.89
146,Slytherin,Esteban,Milne,2001-07-12,Left,42359.0,-562.6819044344254,-6.0005059743269955,5.626819044344254,-5.2139999999999995,-529.9790418575392,375.728085285858,6.407741514386897,1056.650318791638,10.623115092006325,-0.4461055089357852,-249.61247999999998,-97.27
147,Gryffindor,Wilford,Stewart,2001-05-02,Right,35843.0,489.89425324821997,-3.6530554555555073,-4.8989425324822005,6.5089999999999995,-349.7733274236956,627.3851026449479,-4.990578109673786,972.2727747958673,4.661388683799714,1.0580512403618028,-248.8942,201.19
148,Gryffindor,Scarlett,Reyes,2001-11-01,Right,41153.0,299.15988793687285,-6.188562987388673,-2.9915988793687287,5.301,-460.6612894818784,565.3682291860599,-5.7876458677834455,934.3390401041092,-0.18150986393082214,-1.1287205243874516,-252.18504,183.15
149,Gryffindor,Van,Bearden,1997-12-15,Left,51005.0,703.2985890341223,-3.691706482968064,-7.032985890341222,5.396,-718.6084672028627,598.5899269585208,-6.100922865214429,933.6425612445884,1.7445476423581798,0.6104043636926044,-254.7511,237.12
151,Gryffindor,Dan,Whitt,2001-10-28,Left,43174.0,666.1027100731758,-3.7987627805183455,-6.661027100731754,5.3370000000000015,-512.1227025225447,614.7657965558212,-4.734302228187473,965.2147708584039,5.143056633733703,-1.0281133022192503,-252.364,208.29
152,Gryffindor,Jeff,Ernst,1998-02-23,Left,32262.0,791.1833391441772,-2.6006437718342896,-7.911833391441772,8.042,-542.2729290410913,536.7796445862099,-6.272048189931038,937.8606073393432,-1.4048837129040712,0.4511973960368234,-252.1266,221.15
153,Slytherin,Sammie,Zimmerman,2001-09-30,Right,43554.0,-504.67215959530563,-5.39052417277721,5.0467215959530565,-3.555,-477.0412098100229,415.61703295945364,6.743407605252114,1038.294797318717,10.35371257616464,0.4496306846126323,-248.00827,-74.44
154,Slytherin,Renaldo,Cushing,1997-05-13,Left,37115.0,-611.8966141749132,-5.612528220440685,6.118966141749133,-6.691,-713.0879484684998,323.4515005267623,5.323453249020779,1090.201068462954,11.093163527645846,0.2047321886027976,-250.79362999999998,-110.75
156,Gryffindor,Alberto,Michaels,1999-09-30,Left,39731.0,660.8558858847127,-2.811463112509757,-6.608558858847128,6.502999999999999,-601.0012534685634,608.6887585885438,-5.376520300137536,974.1762252515224,4.579109237637884,-0.9599175291104838,-250.98261000000002,215.49
163,Slytherin,Lucio,Negron,1999-01-08,Left,67129.0,-500.83168103074087,-5.6287442668394725,5.0083168103074085,-4.98,-145.46668812709308,437.7989845658098,5.022475789370106,1008.6744112401936,6.517021695696429,0.35283108207552205,-250.63657999999998,-69.99
168,Slytherin,Ervin,Shelley,1998-08-03,Left,,-273.0798764317556,-6.7004688031395006,2.730798764317556,-5.218999999999999,-287.89289199806507,,4.3059580578709085,1020.1217758343697,6.548906544029237,-1.6185929132396442,-255.2995,-95.88
169,Gryffindor,Jayson,Somerville,2001-06-23,Left,42547.0,426.45154456395215,-2.8706729935202016,-4.264515445639522,7.05,-582.9211907174829,606.9511449390733,-4.9823949229056534,995.840619724278,4.793895003848593,-0.661986196739527,-248.28095,177.61
171,Gryffindor,Roy,Delossantos,2000-08-28,Left,53431.0,458.3909154797474,-5.195214988185951,-4.583909154797474,4.271,-476.143263717865,630.2490136557295,-4.3993626871966685,960.7178996289572,5.1987748614103975,1.0142778768826,-252.56696000000002,186.08
172,Gryffindor,Clinton,Hemphill,2000-01-13,Right,38984.0,498.8515227163389,-4.72777708858731,-4.988515227163389,7.004,42.248432472781076,648.8820637240212,-1.8321128566375853,986.2387814924613,7.323180071302537,-0.4725118722427806,-246.82635,137.9
175,Gryffindor,Maggie,Damron,1998-06-02,Right,62042.0,476.2530837143403,-4.368506424964557,-4.762530837143403,5.8020000000000005,-585.9517245498463,572.8403769320282,-5.275262067619121,955.57285922298,0.639725633452406,-1.1448344648640176,-252.9695,163.15
180,Slytherin,Teddy,Dodds,1999-12-19,Right,98109.0,-271.7128297113348,-3.955124098215249,2.7171282971133484,-5.757999999999999,-392.0618071488298,441.7305583811767,2.5573961571499333,,4.930318673966822,0.7684132928635885,-255.09825,-54.34
183,Slytherin,Eloy,Connell,2001-04-18,Right,74845.0,-416.6368113132445,-4.561808678778776,,-4.772,-230.21880058218886,459.2921793735066,3.0224329825093914,1016.0424930963117,6.08468437914788,-0.3391250692751369,-251.42808,-41.08
187,Slytherin,Stacey,Wu,1997-10-08,Left,31210.0,-525.9697368184118,-3.5898117534314826,5.259697368184118,-3.002,-626.5853562289046,412.152266543836,4.59961082081642,1062.5296446379357,10.582996057867122,0.2384106189083935,-246.34111000000001,-38.68
189,Gryffindor,Marcia,Doe,2000-07-24,Left,47670.0,523.2887525464653,-5.171198400832992,-5.232887525464652,5.143,-432.9245845811108,,-3.914790331575592,966.1012238950387,3.878477799474786,-0.259603417947153,-252.38477999999998,159.3
190,Slytherin,Johnathon,Odom,1997-08-20,Left,58492.0,-272.03517346197657,-7.493774610990652,2.720351734619766,-4.77,-351.55253978720594,449.87630545327767,6.679820255918294,1034.3483259915183,12.128236745615885,-0.12395783199197967,-252.31929,-78.63
194,Slytherin,Vickie,Candelaria,1997-10-02,Right,26557.0,-743.6957960459201,-5.226165460163067,7.4369579604592015,-3.759,-698.4912868660465,352.85125591754206,6.764206365844292,1072.2308018376787,10.834149006807019,1.4907515459363736,-245.94679,-102.6
198,Gryffindor,Shayne,Slayton,1999-09-23,Right,46520.0,220.8153067333725,-7.674307289259994,-2.208153067333725,2.975,-835.3002102931459,544.6111192485308,-6.036172918782129,924.1644598010923,0.2824199669950067,0.4407498928480383,-256.0132,191.7
199,Slytherin,Lacy,Mcgowan,1998-01-15,Right,16697.0,-604.2535200802579,-3.3465421004709817,6.042535200802579,-4.936,-415.4256160551609,430.2352909227532,4.523608767613091,1047.5773296176699,11.389266285479364,0.5220276886302291,-245.75565,-2.64
201,Gryffindor,Marty,Canady,1996-11-18,Right,55048.0,,-7.744565644211409,-4.228462270050397,1.946,-594.7961222120485,578.0978120037447,-4.66563181355334,929.9584747443229,2.9722344168282477,-0.34515987885034266,-257.38018,180.57
204,Gryffindor,Angie,Ladner,2001-06-01,Right,42559.0,547.6233911005722,-5.5274318566456255,-5.476233911005721,3.9610000000000003,-833.5692481659023,587.7793489345446,-6.0267602045152175,926.7178816605893,2.5435506081277666,-0.5824170704458294,-255.75059,240.63
206,Gryffindor,Jung,Kim,1999-07-04,Left,35988.0,653.3988888493905,,-6.533988888493904,6.805,-135.79272229334848,613.9374880694534,-5.544401139724316,935.4126841054823,1.2706406544236517,-1.4676454957639429,-250.69972,218.32
211,Gryffindor,Charmaine,Renfro,1999-03-10,Right,42850.0,676.6931113578221,-7.287346257330445,-6.766931113578218,2.596,-650.4851386637457,536.6330150743453,-4.656877782539639,915.0064299311674,1.6973962339890702,-1.3744511098742904,-258.97753,201.43
212,Slytherin,Chantal,Goldman,1997-03-09,Right,5929.0,-762.844122960454,-2.2776446475152032,7.628441229604538,-2.695,-469.4330258601377,412.47623732750094,5.486221253980689,1043.1034866128819,9.93290685140921,-0.09049945020945883,-241.55524,-11.34
213,Slytherin,Steve,Vick,1999-09-05,Right,53566.0,,-8.847165627424307,4.651956065217432,-4.5760000000000005,-398.9394310828915,403.44011797371127,6.7105153001168505,1057.463951020638,11.667526520140841,-2.059934713245452,-251.47773999999998,-126.76
216,Gryffindor,Lindy,Gracia,1998-01-14,Right,33563.0,747.4469702535724,-8.64865175490565,-7.474469702535724,1.444,-475.4161820714312,576.4978364268268,-1.9217785850832687,927.927729784298,7.4042233967580975,2.4163300363470577,-258.6056,188.6
218,Gryffindor,Jung,Layman,2001-04-20,Right,71739.0,559.1322739053422,-5.130720381382153,-5.591322739053424,3.42,-684.3185624466577,604.2878170704461,-6.146592154264291,930.8097863560076,1.2329291848727184,-0.486518640717574,-257.05137,205.67
219,Gryffindor,Amelia,Sharp,2000-12-24,Left,29517.0,705.1179450496028,-6.214961226617062,-7.051179450496028,4.624,-525.6287641512296,551.139509568161,-3.736088586127385,932.011620083677,3.2488939519361857,-0.07263394503269856,-255.1041,198.41
222,Gryffindor,Jessie,Erwin,1999-10-08,Right,30430.0,479.0278531009412,-7.746425560329512,-4.790278531009412,4.223,-230.823816414727,547.3632662681209,-3.1500769102897506,937.0351703486084,2.705375658939249,0.752805429192182,-253.59114,152.69
223,Slytherin,Dudley,Cleary,2001-02-18,Right,21194.0,-705.767878939079,-2.9405134217949063,7.05767878939079,-4.283,-367.96977682326536,412.7205784719457,4.903436239100328,1035.4937554309354,,-0.23090889818103344,-244.6205,-20.32
224,Gryffindor,Leilani,Stamps,1997-08-06,Left,32842.0,516.9490913529813,-5.335326548245293,-5.169490913529813,6.2,-103.07165149996366,615.8067681292675,-3.3020854280115364,958.6437562334436,4.698396542274965,-0.575189445382816,-249.43561,171.32
227,Gryffindor,Emil,Harr,2001-04-28,Left,56805.0,306.9303529143055,-5.412419543517469,-3.069303529143056,4.994,-210.17831880027333,615.3631641719568,-4.4702419025354905,969.7401427886904,3.199228413116252,-0.0042478946771675775,-250.51626000000002,143.62
231,Gryffindor,Micaela,Valdes,1998-03-19,Right,42933.0,399.1178458383049,-5.549933778261311,-3.9911784583830494,5.233,-395.57535023694123,606.656082071099,-3.2726176873087933,974.7555602147247,5.697827403852696,0.4786732767987737,-250.45347999999998,154.55
236,Slytherin,Roosevelt,Cruz,2001-03-05,Right,45162.0,-371.6415253083115,-4.943742616133272,3.7164152530831154,-5.447,-509.66964370513153,407.5263941790734,3.2092111318935137,1071.3130286303024,10.817768658033463,1.0897514350032813,-251.25923999999998,-48.11
241,Gryffindor,Dorothea,Horton,1997-01-18,Left,52433.0,382.3280765445562,-5.704310342119002,-3.823280765445562,4.457,-239.32451016418824,639.1714214405799,-3.870798640463848,968.3324075706067,5.539824223019147,-0.8326577860786851,-251.03932000000003,161.71
246,Gryffindor,Sammie,Lawton,1997-08-06,Left,44730.0,572.9054680305335,-5.588384189150607,-5.729054680305334,4.676,-281.4637453230476,594.5700101525472,-3.0708666195651237,966.9474865022328,5.2837520191652745,-0.03809823918043738,-252.40981000000002,154.2
248,Gryffindor,Lisa,Paz,2001-05-07,Right,,591.4205441090012,-4.482701830151101,-5.9142054410900124,5.416,-353.5591723499984,602.028295658556,-5.612096214047023,934.4976145247473,0.18451838889238514,-1.1382949656920789,-253.87987,187.81
251,Slytherin,Kristine,Jacob,1997-05-24,Left,84659.0,-292.4551995516032,-3.7835901867081305,2.9245519955160297,-5.96,-378.01321091749986,431.90165768333486,2.7388336228958154,1024.4799460012152,5.877581884166013,1.6978945839551678,-254.14821,-46.53
252,Slytherin,Mirna,Billingsley,2001-10-10,Left,46370.0,-521.4302399928272,-6.422108373520403,5.214302399928272,-2.249,-408.7238663994645,435.73230965965536,7.652382559811751,1027.2675817134698,10.316597355475343,-0.932774125810961,-247.07032,-87.42
253,Gryffindor,Brandy,Fielder,1997-02-24,Left,40949.0,430.7461438252797,-6.710169597290131,-4.307461438252797,3.699,-794.2185604748418,538.8803199866671,-4.920976287823453,939.720181744274,2.1008494753551297,1.614348697169676,-255.60147999999998,185.5
255,Slytherin,Geraldo,Seaton,1999-05-14,Left,33251.0,-346.71897081857765,10.296759343358662,3.4671897081857748,6.087999999999999,400.4511031450853,593.2542195164856,9.445644731524839,1074.8214179551933,11.310312537995019,0.4698516621200859,-225.42813999999998,-4.65
257,Slytherin,Keenan,Kozlowski,1998-04-25,Left,73677.0,-374.5740486528221,-6.723347495162045,3.745740486528221,-4.152,-361.5927191376271,436.8555949924961,6.67390443487025,1018.3912636103296,8.7522639052378,1.0430844055076425,-251.8601,-96.8
258,Gryffindor,Marcia,Maes,2001-01-16,Left,48115.0,526.4535187069458,-4.936865995156434,-5.26453518706946,5.6679999999999975,-159.97979578022282,597.2128748307258,-2.601618698655789,986.713972813056,5.484833090287914,0.5163330929597502,-250.21027999999998,124.23
260,Slytherin,Willy,Swearingen,1998-08-06,Right,26732.0,-606.0540261234822,-2.1097291718552165,6.0605402612348245,-3.4819999999999998,-650.5106927194441,404.09598327204117,3.4164132851785802,1064.9244264885324,,0.11620762739933772,-245.43575,-16.75
263,Gryffindor,Rosanne,Bradshaw,1999-10-16,Right,45877.0,237.51010129534126,-4.8840121910758985,-2.3751010129534125,5.614,-697.1365749912079,607.3954926308081,-6.969016028257742,940.4520859162883,0.8068602205410174,-0.3092454772709351,-251.18317000000002,220.86
264,Slytherin,Haydee,Stern,2000-02-05,Right,23348.0,-594.2921238823361,,5.942921238823361,-3.6260000000000003,-689.8915974154836,366.0970928369401,5.960932026423861,1090.0653502335235,12.776323904144368,-0.5743434386966334,-247.24066000000002,-96.4
